Date,Open,High,Low,Volume,Close
5/15/1997,0.121875,0.125,0.096354,1443120000,0.097917
5/16/1997,0.098438,0.098958,0.085417,294000000,0.086458
5/19/1997,0.088021,0.088542,0.08125,122136000,0.085417
5/20/1997,0.086458,0.0875,0.081771,109344000,0.081771
5/21/1997,0.081771,0.082292,0.06875,377064000,0.071354
5/22/1997,0.071875,0.072396,0.065625,235536000,0.069792
5/23/1997,0.070313,0.076042,0.066667,318744000,0.075
5/27/1997,0.075521,0.082292,0.072917,173952000,0.079167
5/28/1997,0.08125,0.081771,0.076563,91488000,0.076563
5/29/1997,0.077083,0.077083,0.073958,69456000,0.07526
5/30/1997,0.075,0.075521,0.073958,51888000,0.075
6/2/1997,0.075521,0.076563,0.075,11832000,0.075521
6/3/1997,0.076563,0.076563,0.073958,23664000,0.073958
6/4/1997,0.073958,0.074479,0.069792,61608000,0.070833
6/5/1997,0.070833,0.077083,0.06875,113448000,0.077083
6/6/1997,0.075781,0.085417,0.075521,156144000,0.082813
6/9/1997,0.082813,0.085417,0.082813,47040000,0.084375
6/10/1997,0.085417,0.085417,0.076563,109176000,0.079167
6/11/1997,0.079688,0.080208,0.076563,23760000,0.077083
6/12/1997,0.079167,0.082292,0.077604,32640000,0.080208
6/13/1997,0.08125,0.08125,0.079167,13872000,0.079167
6/16/1997,0.080208,0.080208,0.078125,18264000,0.078646
6/17/1997,0.079948,0.079948,0.07474,94128000,0.07526
6/18/1997,0.076042,0.076823,0.075,49296000,0.075521
6/19/1997,0.075521,0.076563,0.075,20064000,0.075521
6/20/1997,0.076563,0.077604,0.075,67752000,0.076302
6/23/1997,0.077083,0.077083,0.073958,20952000,0.075
6/24/1997,0.07526,0.076302,0.073958,15024000,0.075521
6/25/1997,0.076302,0.076302,0.074479,42120000,0.075521
6/26/1997,0.076042,0.076042,0.07526,63792000,0.075521
6/27/1997,0.075781,0.075781,0.073958,23760000,0.074479
6/30/1997,0.075521,0.079948,0.073958,54936000,0.077083
7/1/1997,0.077083,0.077083,0.075521,25848000,0.075781
7/2/1997,0.075781,0.079688,0.075521,77640000,0.079427
7/3/1997,0.079948,0.095833,0.079688,251544000,0.095573
7/7/1997,0.091667,0.101042,0.091667,161064000,0.1
7/8/1997,0.102083,0.116667,0.102083,310344000,0.115104
7/9/1997,0.115104,0.119271,0.113542,165240000,0.116146
7/10/1997,0.116667,0.128646,0.116667,181032000,0.128125
7/11/1997,0.126042,0.126042,0.110417,210624000,0.114583
7/14/1997,0.116146,0.116667,0.105729,92088000,0.106771
7/15/1997,0.106771,0.123958,0.106771,185496000,0.121875
7/16/1997,0.122396,0.12474,0.115104,60480000,0.116667
7/17/1997,0.117188,0.117188,0.107813,63384000,0.110938
7/18/1997,0.109375,0.110938,0.107813,15600000,0.107813
7/21/1997,0.108854,0.109896,0.107292,11496000,0.109115
7/22/1997,0.108333,0.109375,0.103125,31272000,0.106771
7/23/1997,0.109375,0.116667,0.108854,65184000,0.114583
7/24/1997,0.115104,0.115625,0.110938,24336000,0.113021
7/25/1997,0.110938,0.1125,0.110938,12408000,0.111458
7/28/1997,0.111458,0.119792,0.110938,51480000,0.116146
7/29/1997,0.118229,0.125,0.116667,96288000,0.123958
7/30/1997,0.125,0.12526,0.121354,50352000,0.122396
7/31/1997,0.121875,0.121875,0.116667,29088000,0.119792
8/1/1997,0.117188,0.120833,0.1125,71760000,0.120833
8/4/1997,0.11875,0.120573,0.115104,53424000,0.115625
8/5/1997,0.116667,0.116667,0.107292,60648000,0.110417
8/6/1997,0.110417,0.115625,0.109375,24864000,0.1125
8/7/1997,0.1125,0.113021,0.10625,40680000,0.108854
8/8/1997,0.108333,0.115104,0.105208,44232000,0.114583
8/11/1997,0.114583,0.116667,0.1125,24792000,0.116406
8/12/1997,0.114063,0.115104,0.109896,11424000,0.109896
8/13/1997,0.111458,0.111458,0.108333,11808000,0.109896
8/14/1997,0.108854,0.1125,0.10599,20832000,0.107813
8/15/1997,0.106771,0.107813,0.096875,31944000,0.105729
8/18/1997,0.102604,0.102604,0.098438,35688000,0.102083
8/19/1997,0.104688,0.110417,0.102604,20064000,0.108333
8/20/1997,0.109375,0.109375,0.103646,19992000,0.108333
8/21/1997,0.106771,0.108594,0.103646,12480000,0.105729
8/22/1997,0.105208,0.10625,0.104688,14256000,0.10625
8/25/1997,0.105208,0.113021,0.105208,22536000,0.110938
8/26/1997,0.111979,0.117708,0.111458,51480000,0.117188
8/27/1997,0.115365,0.116146,0.1125,27840000,0.115885
8/28/1997,0.115104,0.119792,0.114063,22944000,0.11875
8/29/1997,0.118229,0.11875,0.116146,14448000,0.116927
9/2/1997,0.117188,0.11875,0.116667,14640000,0.117708
9/3/1997,0.117188,0.120833,0.115625,39288000,0.116667
9/4/1997,0.118229,0.127604,0.117188,66960000,0.127604
9/5/1997,0.129167,0.133333,0.122917,38160000,0.125
9/8/1997,0.126563,0.151042,0.125,112968000,0.15
9/9/1997,0.157031,0.169271,0.151302,179424000,0.161979
9/10/1997,0.165625,0.166406,0.15625,77328000,0.165104
9/11/1997,0.166667,0.166667,0.152083,85248000,0.157813
9/12/1997,0.159375,0.184896,0.157813,66672000,0.184375
9/15/1997,0.183333,0.183854,0.152604,111672000,0.154688
9/16/1997,0.15625,0.177083,0.15599,128640000,0.167708
9/17/1997,0.172917,0.175,0.166667,52152000,0.170313
